combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
446,0.08,0.01,70,0.85,30,0.824007246745162
447,0.08,0.01,70,0.9,43,0.8280711058280152
448,0.08,0.01,70,0.95,54,0.8329469041582638
449,0.08,0.01,70,0.98,75,0.8521144804692871
450,0.08,0.02,30,0.8,45,0.8388291674716797
451,0.08,0.02,30,0.85,56,0.8355421244717253
452,0.08,0.02,30,0.9,78,0.857686118881076
453,0.08,0.02,30,0.95,104,0.8472788187784722
454,0.08,0.02,30,0.98,147,0.8535208328530774
455,0.08,0.02,40,0.8,37,0.8377210155643777
456,0.08,0.02,40,0.85,48,0.8501792453884651
457,0.08,0.02,40,0.9,68,0.8461877404655196
458,0.08,0.02,40,0.95,88,0.8424615861465912
459,0.08,0.02,40,0.98,126,0.856221660214332
460,0.08,0.02,50,0.8,32,0.8296712139949565
461,0.08,0.02,50,0.85,41,0.8322218623358321
462,0.08,0.02,50,0.9,57,0.8373732488076309
463,0.08,0.02,50,0.95,75,0.8307524723606509
464,0.08,0.02,50,0.98,111,0.8452901721267094
465,0.08,0.02,60,0.8,25,0.8354671000433662
466,0.08,0.02,60,0.85,34,0.8371744123425972
467,0.08,0.02,60,0.9,49,0.8267296492083114
468,0.08,0.02,60,0.95,62,0.833606940288754
469,0.08,0.02,60,0.98,92,0.8437752218283057
470,0.08,0.02,70,0.8,19,0.8277832075117171
471,0.08,0.02,70,0.85,28,0.8258451463516934
472,0.08,0.02,70,0.9,40,0.8205332621083906
473,0.08,0.02,70,0.95,49,0.8214335948420232
474,0.08,0.02,70,0.98,72,0.8359287938359639
475,0.08,0.05,30,0.8,44,0.8456188746590282
476,0.08,0.05,30,0.85,53,0.8376104071134038
477,0.08,0.05,30,0.9,75,0.8527998386561263
478,0.08,0.05,30,0.95,99,0.8420494466882328
479,0.08,0.05,30,0.98,140,0.8640751775127551
480,0.08,0.05,40,0.8,35,0.8268379117625946
481,0.08,0.05,40,0.85,45,0.8402827030287995
482,0.08,0.05,40,0.9,64,0.8273652999412529
483,0.08,0.05,40,0.95,82,0.8323316998771559
484,0.08,0.05,40,0.98,118,0.850167107517167
485,0.08,0.05,50,0.8,29,0.8365962784259494
486,0.08,0.05,50,0.85,39,0.8311809505858514
487,0.08,0.05,50,0.9,56,0.839365447127061
488,0.08,0.05,50,0.95,71,0.8338050570705148
489,0.08,0.05,50,0.98,105,0.853371549708372
490,0.08,0.05,60,0.8,23,0.8337285109722232
491,0.08,0.05,60,0.85,33,0.8204854435759765
492,0.08,0.05,60,0.9,45,0.8274689141870599
493,0.08,0.05,60,0.95,57,0.8289062919335134
494,0.08,0.05,60,0.98,84,0.8414069543591314
495,0.08,0.05,70,0.8,19,0.8277832075117171
496,0.08,0.05,70,0.85,28,0.8258451463516934
497,0.08,0.05,70,0.9,39,0.8181937589379787
498,0.08,0.05,70,0.95,48,0.8253383650047132
499,0.08,0.05,70,0.98,70,0.8370870624365786
500,0.1,0.001,30,0.8,37,0.8292471030792703
501,0.1,0.001,30,0.85,47,0.8386270527661809
