smiles,source_columns
O=C(C1=CC(C(OCCO[Rb])=O)=CC(/N=C/C2=CC=CC=C2)=C1)[Fr],LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C(OCCO[Rb])=O)=CC=C1C2=O)N2C3=CC(C([Fr])=O)=CC=C3,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C(OCCO[Rb])=O)=CC=C1C2=O)N2C3=CC(C([Fr])=O)=CC=C3C,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C(OCCO[Rb])=O)=CC=C1C2=O)N2C3=CC(C([Fr])=O)=CC=C3O,LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C([Fr])=O)=CC(/N=C/C2=CC=C(C=C2)[N+]([O-])=O)=C1)OCCO[Rb],LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:mix_smiles1;UL-94.csv:smiles2
O=C(C1=CC(C([Fr])=O)=CC(N(C(C2=CC=C(C=C23)C#CC4=CC=CC=C4)=O)C3=O)=C1)OCCO[Rb],LOI.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(C([Fr])=O)=CC(N2C(C=C(C2=O)C3=CC=CC=C3)=O)=C1)OCCO[Rb],UL-94.csv:smiles2
O=C(C1=CC(C([Fr])=O)=CC=C1C2=O)N2C3=CC=C(C=C3O)C(OCCCCO[Rb])=O,LOI.csv:smiles2;Tg.csv:smiles2
O=C(C1=CC(C([Rb])=O)=CC=C12)N(C3=CC=C(C4=NC5=C(C=C(C6=CC(OC([Fr])=N7)=C7C=C6)C=C5)O4)C=C3)C2=O,T5.csv:smiles1
O=C(C1=CC(C([Rb])=O)=CC=C12)N(C3=CC=CC(C4=NC5=C(C=C(C6=CC(OC([Fr])=N7)=C7C=C6)C=C5)O4)=C3)C2=O,T5.csv:smiles1
O=C(C1=CC(C2=CC(C(N([Rb])C3=O)=O)=C3C=C2)=CC=C1C4=O)N4C(NC5=CC=C(S(=O)(C6=CC=C(NC([Fr])=S)C=C6)=O)C=C5)=S,LOI.csv:smiles1
O=C(C1=CC(N(C(C2=CC=CC=C23)=O)C3=O)=CC(C(OCCCO[Rb])=O)=C1)[Fr],LOI.csv:smiles2;T5.csv:smiles2;UL-94.csv:smiles2
O=C(C1=CC(N(C(C2=CC=CC=C23)=O)C3=O)=CC(C(OCCO[Rb])=O)=C1)[Fr],LOI.csv:smiles2
O=C(C1=CC(N2C(C3=CC(C([Rb])=O)=CC=C3C2=O)=O)=CC=C1)NC4=C(O)C=CC(C(C5=CC=C(O)C(N[Fr])=C5)(C(F)(F)F)C(F)(F)F)=C4,T5.csv:smiles1
O=C(C1=CC(NC(C2=CC=C(OC3=CC=C(C=C3)OC4=CC=C(C=C4)C([Fr])=O)C=C2)=O)=CC=C1)OC5=CC(P6(OC7=C(C=CC=C7)C8=C6C=CC=C8)=O)=C(C9=C5C=CC=C9)OC(C%10=CC=CC(N[Rb])=C%10)=O,LOI.csv:smiles1
O=C(C1=CC(NC(C2=CC=C3C(C=CC(C([Fr])=O)=C3)=C2)=O)=CC=C1)OC4=CC(P5(OC6=C(C=CC=C6)C7=C5C=CC=C7)=O)=C(C8=C4C=CC=C8)OC(C9=CC=CC(N[Rb])=C9)=O,LOI.csv:smiles1
O=C(C1=CC(NC(C2=CC=CC(C#N)=C2)=O)=CC(C([Fr])=O)=C1)OCCO[Rb],LOI.csv:smiles2;T5.csv:smiles2;Tg.csv:smiles2;UL-94.csv:smiles2
