combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
260,0.05,0.001,50,0.8,53,0.5846358474186709
261,0.05,0.001,50,0.85,74,0.6165095252575592
262,0.05,0.001,50,0.9,100,0.656500300057648
263,0.05,0.001,50,0.95,148,0.6692930304663547
264,0.05,0.001,50,0.98,214,0.6723576134891788
265,0.05,0.001,60,0.8,47,0.5949046628976595
266,0.05,0.001,60,0.85,66,0.6307856005131034
267,0.05,0.001,60,0.9,87,0.6346904954164325
268,0.05,0.001,60,0.95,130,0.6600073655998446
269,0.05,0.001,60,0.98,184,0.6566735962879282
270,0.05,0.001,70,0.8,38,0.5649996990959167
271,0.05,0.001,70,0.85,53,0.6318204564790564
272,0.05,0.001,70,0.9,69,0.6342828387028994
273,0.05,0.001,70,0.95,101,0.6637252518632575
274,0.05,0.001,70,0.98,144,0.6560208720465924
275,0.05,0.005,30,0.8,70,0.5759319653009911
276,0.05,0.005,30,0.85,96,0.6318662956574991
277,0.05,0.005,30,0.9,129,0.6462363896732439
278,0.05,0.005,30,0.95,184,0.6677407737783281
279,0.05,0.005,30,0.98,281,0.671429979405822
280,0.05,0.005,40,0.8,60,0.576986698922826
281,0.05,0.005,40,0.85,85,0.6272566344931452
282,0.05,0.005,40,0.9,114,0.6426711226750785
283,0.05,0.005,40,0.95,161,0.6778469568990315
284,0.05,0.005,40,0.98,243,0.6673423029049187
285,0.05,0.005,50,0.8,52,0.5872631681391163
286,0.05,0.005,50,0.85,72,0.635274410217938
287,0.05,0.005,50,0.9,97,0.665224207271531
288,0.05,0.005,50,0.95,142,0.6719362337640151
289,0.05,0.005,50,0.98,203,0.6643120463992803
290,0.05,0.005,60,0.8,45,0.5829201626008079
291,0.05,0.005,60,0.85,64,0.6078457519425817
292,0.05,0.005,60,0.9,82,0.655704410435894
293,0.05,0.005,60,0.95,124,0.6653263057891614
294,0.05,0.005,60,0.98,175,0.6623240896604422
295,0.05,0.005,70,0.8,35,0.57711071088703
296,0.05,0.005,70,0.85,51,0.6320573016372707
297,0.05,0.005,70,0.9,64,0.6557192159917646
298,0.05,0.005,70,0.95,93,0.6543066310411401
299,0.05,0.005,70,0.98,134,0.6599795150691314
