combination_id,freq_threshold,var_threshold,mi_threshold,corr_threshold,feature_count,performance
325,0.05,0.02,30,0.8,76,0.758022859964543
326,0.05,0.02,30,0.85,92,0.7761298910433851
327,0.05,0.02,30,0.9,120,0.7632290513426818
328,0.05,0.02,30,0.95,166,0.7668615213947291
329,0.05,0.02,30,0.98,214,0.7599024108921149
330,0.05,0.02,40,0.8,65,0.7759732490329838
331,0.05,0.02,40,0.85,82,0.7625381372621044
332,0.05,0.02,40,0.9,105,0.7757331470215585
333,0.05,0.02,40,0.95,148,0.7542055799779537
334,0.05,0.02,40,0.98,191,0.7634081556702575
335,0.05,0.02,50,0.8,58,0.65318378436813
336,0.05,0.02,50,0.85,74,0.6691383916359636
337,0.05,0.02,50,0.9,94,0.6514206625401197
338,0.05,0.02,50,0.95,128,0.6980297893585157
339,0.05,0.02,50,0.98,167,0.6757265960152933
340,0.05,0.02,60,0.8,52,0.6335997937528951
341,0.05,0.02,60,0.85,63,0.6316767243557926
342,0.05,0.02,60,0.9,84,0.622097123750373
343,0.05,0.02,60,0.95,113,0.6490290982657457
344,0.05,0.02,60,0.98,143,0.6536376844281606
345,0.05,0.02,70,0.8,44,0.6265008340064144
346,0.05,0.02,70,0.85,55,0.6258749350687416
347,0.05,0.02,70,0.9,69,0.6313739474852905
348,0.05,0.02,70,0.95,93,0.651675515813238
349,0.05,0.02,70,0.98,117,0.6373061560838902
350,0.05,0.05,30,0.8,70,0.7506040156525292
351,0.05,0.05,30,0.85,81,0.7596188582900065
352,0.05,0.05,30,0.9,109,0.7518051620311169
353,0.05,0.05,30,0.95,149,0.7784590917176536
354,0.05,0.05,30,0.98,194,0.7549846970556613
355,0.05,0.05,40,0.8,56,0.7146184976209815
356,0.05,0.05,40,0.85,71,0.7171535968483129
357,0.05,0.05,40,0.9,93,0.7381244064747282
358,0.05,0.05,40,0.95,132,0.7221116673757029
359,0.05,0.05,40,0.98,172,0.7246175049141319
360,0.05,0.05,50,0.8,51,0.7207575863119808
361,0.05,0.05,50,0.85,67,0.7106560678757677
362,0.05,0.05,50,0.9,86,0.7330467534483052
363,0.05,0.05,50,0.95,115,0.7239961145063001
364,0.05,0.05,50,0.98,146,0.7212443724381569
365,0.05,0.05,60,0.8,44,0.6238700743783394
